,리뷰
14,냉열무국수를 열무비빔국수로 가져왔네요
23,양은 무척 많네요.... 근데 너무 짜요. 냉면 육수도 짜고 고기도 짜서 같이 먹을수가 없어요~ 그래서 육쌈은 포기했습니다. 되려 밥이랑 찌개시켜서 먹음 괜찮을듯도 해요. 음식은 간만 빼면 깔끔했습니다
42,솔직히 맛은 없어요... 리뷰좋아서 시켰는데 실망이예요 쭈삼시켰는데 쭈꾸미는 어딨는지 .... 김치찌개는 너무 텁텁하고 어느정도는 이해하겠는데 조미료맛이 너무 심하네요
50,주문이 잘못 들어갔나 보네요. 쭈꾸미 시켰는데 따로 연락도 없이 오징어가 왔어요. 다시 기다리기 귀찮아 그냥 먹는데 오징어가 쫄깃한 맛이 하나도 없어요 ㅠ
81,제가 잘 좀 해달라고 남겼는데 전 매끼를 먹어도 밥한공기 다 못먹는데.. 다들 부족해가지고 하.. 맛은 솔직히 괜찮은데 양이 너무 적네요 전 고기도 다 반 잘라서 먹는데ㅎ 실망스럽네요 저번에 양은 괜찮았는데. 다음에 먹게된다면 잘 해서 보내주셨으면 하네요
87,내가 배달을많이시켜먹는편인데요 와세상에 아무리비가온다해도 2시간넘게 걸리는음식점은 살다가 첨보네요진짜 여기진짜비추입니다
112,그닥야미많진않지만얼으은많이줌ㆍ
135,양이 넘 적어요 가격에 비해..
136,가격대비갠찬아요.단음식싫어하시는분은시키지마세요.완전달달해요
139,한시간다되어가는데 안와요 전화도안받네요...
145,석쇠불고기 1키로 시켰는데 800g밖에 안오고 김치찌개는 너무 짜고 괜히 시켜먹은 것 같네요. 음식 양 가지고 장난치는 업소 진짜 별로라고 생각해요
149,ㅍㅌㅊㅍㅌㅊㅍㅌㅊ ㅍㅌㅊ
189,좀 고기가 비렸어요ㅠㅠ 맛있긴 했네요
193,"맛 나쁘지 않음 양도 나쁘지 않음 그런데 배달 최악 일단 50분 걸린다해놓고 20분 더 걸린데다가 배달온 사람은 문 여니까 폰만 보고 있고 음식을 안주길래 빤히 쳐다보니까 5초쯤뒤에야 ""아"" 그러더니 음식주고 쌩가버림 김치찌개랑 음식들은 다 식어있고. 식은 음식을 보냈을리는 없고... 배달하는 사이 식은거 같은데 도대체 뭘하면 김치찌개가 다 식을만큼 배달이 오래걸리지 ㅡㅡ 배달을 10군데쯤 몰아서 하나..."
195,김치찌개는좀다네요~
196,달필요가있나싶네여ㅎㅎㅎ
197,불고기가 메인요리인데...김치찌개가 더맛있었다눈...
202,맛은 좋은데 배달 시간이 넘 심하네요. 배고프기전에 배달시켜야될것같습니다.
224,맛은있네요 배달이느리구요
230,저도 주문한지 1시20분 지났습니다 50분걸린다고 문자 왔는데 업체 전화도 안받으시고 음식이 오긴 하나요????? 전화를 받으셔야 취소를 하든 기다리든 할거 같은데요..
233,문제가 여러가지 있네요 우선 고추장을 시켰는데 간장이 왔구요 이벤트한다구 공지에 쓰여있어서 리뷰한다고 했는데 음료도 안주네요 낚시인건지 뭔지 양은 그럭저럭인데 맛은 영.... 특히 김치찌개는 완전 별로네요 그리고 김치찌개 새어나와서 포장 봉투 안이 몽땅 국물범벅이 되어있었습니다 정말 여러모로 불쾌했네요
239,김치랑쌈장은다섞여서엉망이고다른곳에돌아돌아오셨는지음식은다식었네요.다시는안시켜먹고싶네요
241,맛있어요ㅎㅎ 양도 많아요 둘이서 배불리먹고 조금 남았어요 근데 김치찌개용기가 다 찌그러져서 왔어요 그 리뷰쓴다하고 음료달라하면 주신다면서 안주시고.그거빼곤 만족합니다ㅎ
242,50분걸린다고했는데 ㅜㅜ1시간20분이지났네요 언제오나요
250,배달하시는분 참 친절하시네요 맛은 그냥그냥 좀 냄새가 나네요
257,배달소요시간딱맞춰오네요. .ㅡㅡ 다른건다괴안은데 반찬이좀부실한거같아요. .
272,양은 보통 /리뷰쓴다고하면 주시는 콜라있죠? 현장에서 현금으로 낸다고하면 콜라주시는거랑 중복으로는 안되나봐요 ! 참고하세요 전 콜라안먹는데 신랑이 좋아해서요ㅡ 리뷰쓰고 /현장 현금결제로 /일부로했는데 한개만 주시더라고요! ㅋㅋㅋ그냥 카드결제할껄 . 어차피뭐 콜라얼마하지도 않는거 그건 그렇구요  맛있게 잘먹었어요 반찬이라고할꺼는 뭐가 없어요 쌈장에 마늘고추 그리고 김치조금이 다예요! 참고하세요 불고기는 맛있어요 양은 다른집들과 비교했을때 ( 유명 불고기집들포함) 솔직히 많지않고 그냥 그냥그래요 ! 맛있음됐죠뭐
297,1시간 20분..?기다렸고 김치찌개랑 불고기 다 식어서 와서 아쉬웠습니다.
303,별루에요;;;계란찜도 전자렌지에 돌려오고 폭퍽하고 맛없음;;
304,석쇠맛도 별로 안나고 2-3인으로 시켰는데 양은 3인이 먹을 만큼은 아니었어요. 그것보다 담날 같이 먹은 사람과 복통이 생겼는데 혹시 여기서 먹은 거 때문인가싶어요;
315,맛은 괜찮아요 양이 좀 적네요 ㅠ
332,배달 45분 예정 -> 1시간 15분 걸림 고기 맛은 달달하고 나쁘지 않은듯 한데 고기가 다 식어서 왔어요ㅡㅡ 다시 데워 먹어야 겠네요. 김치찌개는 새콤함이 느껴지고 싱거운 느낌
334,맛있어요.. 가격대비 양은 적어요
347,맛은 전반적으로 좋았구 상추가 생각보다 꽤 와서 좋았구 2인분치구 양도 많고 맛도 좋았어요. 배달이 좀 오래 걸렸네요ㅠ 55분정도?
358,맛은있는데 배달2시간걸리고.. 상추는 물먹어서 시들시들.. 상추끝부분 자르고 먹었어요. 배달이랑 야채관리에만 좀 신경쓰면 자주시켜먹을 의향있는데 아쉽네요.
375,밥과 고기가 뻑뻑했어요 반찬으로 온 무 색깔이 오래 되어 보여 먹지않았어요
376,쏘쏘입니다 나쁘진않은듯
383,자주시켜먹었었는ㄷㅔ고기에 비계가없어서그런지 너무바짝바짝타있었어요..뻑뻑해서 다버렸는데 이제안시킬까봐요 ㅠㅜ
395,석쇠1~2인분시켰는데 밥이 딱딱하고 오래된밥이왔어요. 다시 전화해서 밥새로가져다달라고 주문하니 20분이걸렸네요. 배달하는 아저씨가 밥을 받아서 온게 9분전이라고 ;; 음식은 다 식어버리고 짜증나서 다 버렸네요
401,맛과 양은 괜찮은데 아주 김치찌개 범벅이네요
408,돼지냄새좀 났어요. 그 외에는 무난무난
413,리뷰가괜찮아서 남자친구 시켜줬는데 맛은그닥인거같더라구요
421,하....공기밥 하나추가했는데 하나만 왔네요 ㅡㅡ 장난하세요??
428,거의 수분이 없는 고기같네요. 1시간 기다려서 먹을건 아닌듯..
450,고기양념 너무짜고 석쇠 불맛이 없음
461,엉망진창입니다. 2시간 걸려 음식을 배달해놓고도 태연하게 제대로 된 사과 한마디 없는 배달원과 주인의 태고에 기겁했네요. 냉장고에 넣어둔것 같은 차가운 고기를 2만원이나 주고 먹었습니다. 정말 최악입니다.
467,배달 느린거 빼곤 괜찮아요
474,돼지냄새가 심하게나네요..
477,먹을만해요 김치찌게 국물이좀 적어요 고기비계많음 그래도 나쁘지않음
506,피자샵정말자주시켜먹는데 이번엔 다흘러내려서 집고먹을수가없어서 말아서먹었습니다 실망이에요
512,45분 대기였는데 그 이후로도 20분은 더 기다렸어요 주문하고 먹기까지 1시간 반은 걸린것같아요 전화해보니 배달할때 다른 곳 들렸다가 오신다고 하더라구요.. 바쁜건 이해하지만 ㅠㅠ.... 피자는 맛있었지만 배달이 늦어서 피자가 식었었고 너무 오래 기다려서 다음부턴 여기서 안먹을 것 같아요 M사이즈 크기도 작고 음료도 따로 사야해요
513,50분 소요 된다고 했는데 1시간넘어서 왔어요 음식도다식고 짜고 예전보다 더 짜요
567,구매평이 좋아서 시켜봤는데.. 이건뭥죠 50분 걸린다고 맛나게 먹을생각에 기대하고 기다리고 있었는데 1시간40분넘도록 안와서 매장에 전화했더니 직원이 누락시킨거 같다고 하네요 처음 주문했는데..너무나도 실망스럽네요 ㅠ
568,짜요짜요 ㅠㅠㅠㅠㅠㅠㅠ
577,단골집인데 배달이 80분걸린다고 해서 그러려니 기다렸는데 2시간이 다 되서 왔네요. 늦어지면 미리 전화해서 양해를 구했으면 좋았을텐데... 1시간반이 지나서 전화를 몇번 했는데 안받더니 요기요번호로는 전화가 불통되고.. 본번호로 전화하니 그제서야 받아서 이러쿵저러쿵.. 서비스만족도 최악이네요.. 단골이었는데 또 시켜먹게될지 모르겠네요...
581,피자가오는데 콜라도안주는집처음봐여 맛도더신경쓰셔야할듯해요 .
587,정말 맛있었습니다 양도 훌륭하고 감자도 많이 들어있네요 고로 1점 박고갑니다^^
595,너무 늦게왔어요..ㅠ
