,0,1
0,배달,458
1,시간,98
2,치킨,91
3,주문,87
4,그냥,71
5,정말,69
6,리뷰,68
7,소스,66
8,음식,62
9,진짜,59
10,별로,56
11,튀김,54
12,족발,54
13,양은,50
14,오늘,49
15,양념,48
16,정도,47
17,실망,45
18,탕수육,45
19,생각,44
20,양도,44
21,피자,44
22,처음,44
23,다음,42
24,가격,42
25,여기,39
26,고기,34
27,막국수,33
28,국물,32
29,전화,31
30,떡볶이,31
31,닭발,30
32,짬뽕,29
33,냄새,28
34,다시,27
35,다른,26
36,보통,25
37,자주,25
38,기분,25
39,달라,24
40,느낌,24
41,서비스,24
42,치즈,24
43,기름,24
44,항상,24
45,불어,24
46,하나,23
47,최악,23
48,조금,23
49,거의,21
50,이번,21
51,원래,21
52,바삭,20
53,짜장,20
54,짜장면,20
55,메뉴,19
56,먹기,18
57,사람,17
58,김치,17
59,추가,17
60,볶음밥,17
61,대비,16
62,부분,16
63,신경,16
64,무슨,16
65,완전,15
66,상태,15
67,저번,14
68,보고,14
69,제대로,14
70,조각,14
71,옛날,14
72,입맛,14
73,일단,13
74,콜라,13
75,감자,13
76,한번,13
77,역시,13
78,김치찌개,12
79,계란찜,12
80,예전,12
81,요청,12
82,돈까스,12
83,이해,11
84,포장,11
85,그것,11
86,사진,11
87,추천,11
88,주소,11
89,배송,11
90,기대,11
91,제일,11
92,그릇,11
93,인분,10
94,다식,10
95,미리,10
96,매번,10
97,양파,10
98,장사,10
99,예상,10
