,0,1
0,배달,2275
1,양도,873
2,족발,761
3,항상,755
4,진짜,705
5,치킨,577
6,정말,568
7,주문,557
8,여기,436
9,역시,424
10,최고,399
11,다음,380
12,막국수,375
13,자주,347
14,처음,343
15,리뷰,325
16,서비스,325
17,피자,313
18,튀김,306
19,소스,294
20,떡볶이,282
21,조금,268
22,생각,256
23,오늘,250
24,시간,247
25,완전,219
26,양념,207
27,가격,198
28,고기,181
29,보쌈,181
30,사진,180
31,대박,166
32,음식,163
33,추천,160
34,치즈,158
35,번창,154
36,먹기,154
37,닭발,145
38,바삭,144
39,도야,139
40,사장,134
41,주먹밥,134
42,추가,130
43,아주,130
44,정도,126
45,포장,126
46,메뉴,125
47,후라이드,124
48,가성,119
49,이번,119
50,요청,118
51,매번,116
52,매콤,114
53,하나,113
54,만족,113
55,존맛,108
56,마늘,107
57,제일,107
58,샐러드,107
59,그냥,106
60,국물,103
61,김치,102
62,주시,98
63,짱짱,98
64,분도,96
65,혼자,96
66,다른,91
67,달라,89
68,양은,89
69,한번,86
70,감동,85
71,냄새,85
72,링클,84
73,굿굿,83
74,인분,81
75,사항,81
76,쿠폰,81
77,살짝,79
78,보고,78
79,별로,77
80,단골,75
81,오징어,75
82,느낌,75
83,감자,75
84,예상,74
85,짬뽕,73
86,세트,72
87,맛초킹,71
88,다만,69
89,약간,69
90,저번,68
91,불족,68
92,기분,67
93,계속,67
94,야채,66
95,돈까스,66
96,배송,64
97,입맛,63
98,탕수육,63
99,언제,61
