업체명,카테고리,메뉴,맛,양,배달,리뷰,date
전주석쇠불고기-본점,한식,파절이매콤통삼겹（2~3인）（공기밥2＋김치찌개＋밑반찬＋쌈）/1,5.0,5.0,5.0,자주시켜먹는 단골집인데 항상변치않고 맛있습니다! !!,2017년 12월 6일 수요일
전주석쇠불고기-본점,한식,통삼겹살 2人（고기＋공기밥2＋김치찌개＋쌈＋밑반찬）/1(추가 선택(고기 추가)),5.0,5.0,5.0,배달 시간도 오래걸리지 않고 양이 적을거 같아서 고기 추가를 했는데..안해도 됐었네요ㅋㅋ. 맛도 이정도면 괜찮다고 생각이 듭니다.,2017년 9월 30일 토요일
전주석쇠불고기-본점,한식,통삼겹（小／500g）（냉열무국수 or 냉열무우동 or 비빔열무국수＋쌈）/1(메뉴 선택(냉열무국수)),5.0,5.0,5.0,배달도빠르고맛나요ㅁ,2018년 3월 13일 화요일
전주석쇠불고기-본점,한식,통삼겹（3~4인）（김치찌개＋공기밥3＋밑반찬＋쌈）/1,5.0,5.0,5.0,찌개와 통삼겹 맛있는 5찬. 많이 먹는편이라 3인분짜리 주문했는데... 배터지는줄 알았어요~ 단골될께요^^,2018년 2월 27일 화요일
전주석쇠불고기-본점,한식,통삼겹（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(추가 선택(비빔냉면 추가)),3.0,3.0,5.0,일인분같지않은양.. 냉면안시켰음배고팠을뻔 편마늘좀마니달라했는데 그대로..,2017년 10월 28일 토요일
전주석쇠불고기-본점,한식,통삼겹（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(추가 선택(물냉면 추가)),5.0,5.0,5.0,고기도 많고 짜개도 많고 쌈도 많아요 다만어쩔수없이 고기가 식은게 아쉬울뿐입니다,2018년 1월 20일 토요일
전주석쇠불고기-본점,한식,통삼겹（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1(추가 선택(계란찜 추가)),4.0,5.0,5.0,삼겹살이 조금 느끼한거같긴한데 전체적으로 맛있어요?,2017년 10월 28일 토요일
전주석쇠불고기-본점,한식,통삼겹（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1,5.0,3.0,5.0,맛나용 고기가 두꺼워서 좋아요 ㅎㅎ 양이 조금 더 있었으면 하는 아쉬움이 있어요,2018년 1월 4일 목요일
전주석쇠불고기-본점,한식,통삼겹（1~2인）（공기밥1＋김치찌개＋밑반찬＋쌈）/1,5.0,5.0,5.0,마싯써용!!! 쥰맛탱구리,2017년 12월 16일 토요일
전주석쇠불고기-본점,한식,커플소세지삼겹바베큐（김치찌개＋공기밥2＋밑반찬＋소스＋쌈）/1(추가 선택(공기밥 추가)),4.0,4.0,4.0,김치찌개도 주시고 좋아여,2018년 2월 3일 토요일
전주석쇠불고기-본점,한식,커플소세지삼겹바베큐（김치찌개＋공기밥2＋밑반찬＋소스＋쌈）/1(추가 선택(갈비만두 추가냉열무국수 추가)),5.0,5.0,5.0,맛있어용 소세지불고기는 소세지가 조금이여서 깜짝놀랐는데 고기양은많아요 맛나용,2018년 3월 26일 월요일
전주석쇠불고기-본점,한식,육쌈비빔냉면 1인/1(고기 선택(매콤)추가 선택(석쇠고기 추가)),3.0,4.0,3.0,괜찬네요.,2017년 10월 24일 화요일
전주석쇠불고기-본점,한식,육쌈비빔냉면 1인/1(고기 선택(광양)추가 선택(갈비만두 추가석쇠고기 추가)),5.0,5.0,5.0,양도 많고 맛있었어요 ! 고기 양념도 달달해서 맛있고 갈비만두가 속이 꽉차있는데 너무 맛있어요 ㅎㅎㅎ 배달 사장님도 친절하시고 음식도 맛있게 잘 막었습니다 !!,2018년 1월 17일 수요일
전주석쇠불고기-본점,한식,육쌈비빔냉면 1인/1(고기 선택(광양))스팸주먹밥/1냉열무우동/1,4.0,4.0,4.0,먹을만 함 배달도 빠름...,2018년 1월 22일 월요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/2(고기 선택(광양)),4.0,4.0,2.0,냉열무국수를 열무비빔국수로 가져왔네요,2017년 12월 24일 일요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(매콤)추가 선택(석쇠고기 추가)),5.0,5.0,4.0,와우... 간만에 시켰는데 정말맛있네요! 시원한냉면. 푸짐하고 맛있는고기! 술안주와 밥반찬을 동시에해결....ㅋ 자알...먹었습니다! 다음에도 ......,2017년 11월 13일 월요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(매콤)추가 선택(공기밥 추가석쇠고기 추가)),5.0,5.0,4.0,자주 시켜먹지만... 저희집 식구들은 진짜 잘먹네요...ㅋ 오늘도 저는 냉면육수만 ....ㅎ 어쨋든 저희는 잘먹었습니다. 번창하세요!!!,2018년 1월 20일 토요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(매콤))육쌈비빔냉면 1인/1(고기 선택(광양)),5.0,5.0,5.0,잘먹었습니다 물냉도 얼음이랑 육수 많이들오가있어서 시원하게 먹고 고기도맛있네요!,2017년 11월 2일 목요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양)추가 선택(석쇠고기 추가)),5.0,5.0,4.0,가끔시켜먹는데... 정말 먹을만하네요 겨울철에 시켜먹는 물냉면 별미중별미...ㅠ 잘먹었습니다. 다음에도 많이주세요,2017년 12월 30일 토요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양)추가 선택(공기밥 추가))육쌈비빔냉면 1인/1(고기 선택(광양)),4.0,4.0,4.0,맛도 좋고 배달도 빨라요,2017년 12월 18일 월요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양)추가 선택(계란찜 추가김치찌개 추가))육쌈비빔냉면 1인/1(고기 선택(광양)),3.0,3.0,5.0,비냉 맛납니다 잘먹었어요,2018년 1월 8일 월요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양)추가 선택(계란찜 추가))참치주먹밥/1,5.0,5.0,5.0,맛닜었어용 ㅎㅎㅎㅎㅎ,2018년 1월 23일 화요일
전주석쇠불고기-본점,한식,육쌈물냉면 1인/1(고기 선택(광양)추가 선택(계란찜 추가))참치주먹밥/1,5.0,5.0,5.0,마싯섯서영 ㅎㅎㅎㅎ,2018년 1월 5일 금요일
