,0,1
0,배달,3130
1,양도,1005
2,족발,892
3,항상,839
4,진짜,817
5,치킨,725
6,정말,703
7,주문,700
8,여기,511
9,다음,472
10,역시,464
11,막국수,445
12,리뷰,428
13,최고,426
14,튀김,423
15,처음,418
16,소스,416
17,시간,414
18,조금,413
19,자주,408
20,피자,407
21,서비스,381
22,떡볶이,369
23,생각,349
24,오늘,344
25,양념,307
26,가격,289
27,완전,256
28,고기,254
29,음식,251
30,그냥,246
31,닭발,221
32,치즈,219
33,양은,213
34,먹기,208
35,보쌈,204
36,정도,201
37,사진,200
38,추천,196
39,별로,184
40,바삭,184
41,대박,176
42,메뉴,173
43,이번,169
44,추가,166
45,번창,162
46,주먹밥,160
47,아주,158
48,포장,154
49,국물,153
50,하나,151
51,후라이드,151
52,사장,150
53,도야,147
54,탕수육,145
55,매번,142
56,요청,140
57,다른,136
58,마늘,134
59,제일,134
60,냄새,134
61,가성,133
62,매콤,131
63,김치,131
64,샐러드,131
65,달라,127
66,보통,124
67,만족,124
68,혼자,123
69,짬뽕,123
70,느낌,122
71,존맛,121
72,살짝,118
73,주시,114
74,인분,112
75,보고,106
76,한번,106
77,분도,104
78,대비,102
79,짱짱,102
80,감자,102
81,링클,102
82,기분,100
83,실망,100
84,돈까스,99
85,기름,98
86,다시,97
87,사항,97
88,저번,96
89,쿠폰,95
90,다만,94
91,예상,94
92,굿굿,94
93,오징어,92
94,약간,92
95,세트,90
96,단골,89
97,전화,89
98,원래,89
99,볶음밥,89
